,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
0,111619,United States,111619 United States,2021-11-01,10146.0,,,
1,111619,United States,111619 United States,2021-12-01,10818.0,3363.0,,
2,111619,United States,111619 United States,2022-01-01,6941.0,3526.0,,
3,111619,United States,111619 United States,2022-02-01,6571.0,3688.0,,
4,111619,United States,111619 United States,2022-03-01,8093.0,3848.0,,
5,111619,United States,111619 United States,2022-04-01,6276.0,4007.0,,
6,111619,United States,111619 United States,2022-05-01,6564.0,4165.0,,
7,111619,United States,111619 United States,2022-06-01,5321.0,4322.0,,
8,111619,United States,111619 United States,2022-07-01,4504.0,4477.0,,
9,111619,United States,111619 United States,2022-08-01,5667.0,4631.0,,
10,111619,United States,111619 United States,2022-09-01,4301.0,4783.0,,
11,111619,United States,111619 United States,2022-10-01,4279.0,4934.0,,
12,111619,United States,111619 United States,2022-11-01,4070.0,5084.0,,
13,111619,United States,111619 United States,2022-12-01,5567.0,5233.0,,
14,111619,United States,111619 United States,2023-01-01,3520.0,5380.0,,
15,111619,United States,111619 United States,2023-02-01,3032.0,5526.0,,
16,111619,United States,111619 United States,2023-03-01,3037.0,5671.0,,
17,111619,United States,111619 United States,2023-04-01,3153.0,5814.0,,
18,111619,United States,111619 United States,2023-05-01,4126.0,5956.0,,
19,111619,United States,111619 United States,2023-06-01,4535.0,6097.0,,
20,111619,United States,111619 United States,2023-07-01,3532.0,6237.0,,
21,111619,United States,111619 United States,2023-08-01,3454.0,6376.0,,
22,111619,United States,111619 United States,2023-09-01,4634.0,6513.0,,
23,111619,United States,111619 United States,2023-10-01,3250.0,6649.0,,
24,111619,United States,111619 United States,2023-11-01,4342.0,6783.0,,
25,111619,United States,111619 United States,2023-12-01,6726.0,6917.0,,
26,111619,United States,111619 United States,2024-01-01,5148.0,7049.0,,
27,111619,United States,111619 United States,2024-02-01,7455.0,7180.0,,
28,111619,United States,111619 United States,2024-03-01,7540.0,7310.0,,
29,111619,United States,111619 United States,2024-04-01,8415.0,7439.0,,
30,111619,United States,111619 United States,2024-05-01,8388.0,7566.0,,
31,111619,United States,111619 United States,2024-06-01,8470.0,7693.0,,
32,111619,United States,111619 United States,2024-07-01,8915.0,7818.0,,1.0
33,111619,United States,111619 United States,2024-08-01,9524.0,7942.0,,
34,111619,United States,111619 United States,2024-09-01,9912.0,8065.0,,1.0
35,111619,United States,111619 United States,2024-10-01,13019.0,8187.0,,
36,111619,United States,111619 United States,2024-11-01,6318.0,8307.0,1.0,
37,111619,United States,111619 United States,2024-12-01,,8427.0,,
38,111619,United States,111619 United States,2025-01-01,,8545.0,,
39,111619,United States,111619 United States,2025-02-01,,8662.0,,
40,111619,United States,111619 United States,2025-03-01,,8778.0,,
41,111619,United States,111619 United States,2025-04-01,,8893.0,,
42,111619,United States,111619 United States,2025-05-01,,9007.0,,
43,111619,United States,111619 United States,2025-06-01,,9120.0,,
44,111619,United States,111619 United States,2025-07-01,,9232.0,,
45,111619,United States,111619 United States,2025-08-01,,9342.0,,
46,111619,United States,111619 United States,2025-09-01,,9452.0,,
47,111619,United States,111619 United States,2025-10-01,,9561.0,,
48,111619,United States,111619 United States,2025-11-01,,9668.0,,
49,111619,United States,111619 United States,2025-12-01,,9775.0,,
50,111619,United States,111619 United States,2026-01-01,,9880.0,,
51,111619,United States,111619 United States,2026-02-01,,9984.0,,
52,111619,United States,111619 United States,2026-03-01,,10088.0,,
53,111619,United States,111619 United States,2026-04-01,,10190.0,,
54,111619,United States,111619 United States,2026-05-01,,10291.0,,
55,111619,United States,111619 United States,2026-06-01,,10392.0,,
56,111619,United States,111619 United States,2026-07-01,,10491.0,,
57,111619,United States,111619 United States,2026-08-01,,10590.0,,
58,111619,United States,111619 United States,2026-09-01,,10687.0,,
59,111619,United States,111619 United States,2026-10-01,,10783.0,,
60,111619,United States,111619 United States,2026-11-01,,10879.0,,
61,111619,United States,111619 United States,2026-12-01,,10973.0,,
62,111619,United States,111619 United States,2027-01-01,,11067.0,,
63,111619,United States,111619 United States,2027-02-01,,11160.0,,
64,111619,United States,111619 United States,2027-03-01,,11251.0,,
65,111619,United States,111619 United States,2027-04-01,,11342.0,,
66,111619,United States,111619 United States,2027-05-01,,11432.0,,
67,111619,United States,111619 United States,2027-06-01,,11521.0,,
68,111619,United States,111619 United States,2027-07-01,,11609.0,,
69,111619,United States,111619 United States,2027-08-01,,11696.0,,
70,111619,United States,111619 United States,2027-09-01,,11783.0,,
71,111619,United States,111619 United States,2027-10-01,,11868.0,,
72,111619,United States,111619 United States,2027-11-01,,11953.0,,
73,111619,United States,111619 United States,2027-12-01,,3032.0,,
74,111619,United States,111619 United States,2028-01-01,,3032.0,,
