,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
600,213527,United States,213527 United States,2021-11-01,5277.0,,,
601,213527,United States,213527 United States,2021-12-01,7031.0,5119.0,,
602,213527,United States,213527 United States,2022-01-01,4333.0,5119.0,,
603,213527,United States,213527 United States,2022-02-01,4848.0,5276.0,,
604,213527,United States,213527 United States,2022-03-01,5418.0,5276.0,,
605,213527,United States,213527 United States,2022-04-01,4867.0,5432.0,,
606,213527,United States,213527 United States,2022-05-01,4753.0,5432.0,,
607,213527,United States,213527 United States,2022-06-01,5423.0,5587.0,,
608,213527,United States,213527 United States,2022-07-01,4690.0,5587.0,,
609,213527,United States,213527 United States,2022-08-01,5839.0,5741.0,,
610,213527,United States,213527 United States,2022-09-01,5949.0,5741.0,,
611,213527,United States,213527 United States,2022-10-01,6216.0,5893.0,,
612,213527,United States,213527 United States,2022-11-01,7652.0,5893.0,,
613,213527,United States,213527 United States,2022-12-01,7233.0,6044.0,,
614,213527,United States,213527 United States,2023-01-01,5906.0,6194.0,,
615,213527,United States,213527 United States,2023-02-01,6659.0,6342.0,,
616,213527,United States,213527 United States,2023-03-01,7063.0,6489.0,,
617,213527,United States,213527 United States,2023-04-01,6487.0,6635.0,,
618,213527,United States,213527 United States,2023-05-01,6583.0,6779.0,,
619,213527,United States,213527 United States,2023-06-01,7517.0,6922.0,,
620,213527,United States,213527 United States,2023-07-01,5058.0,7064.0,,
621,213527,United States,213527 United States,2023-08-01,7161.0,7204.0,,
622,213527,United States,213527 United States,2023-09-01,6325.0,7344.0,,
623,213527,United States,213527 United States,2023-10-01,8464.0,7481.0,,
624,213527,United States,213527 United States,2023-11-01,8064.0,7618.0,,
625,213527,United States,213527 United States,2023-12-01,11071.0,7753.0,,
626,213527,United States,213527 United States,2024-01-01,7034.0,7887.0,,
627,213527,United States,213527 United States,2024-02-01,8104.0,8019.0,,
628,213527,United States,213527 United States,2024-03-01,8153.0,8151.0,,
629,213527,United States,213527 United States,2024-04-01,7688.0,8281.0,,
630,213527,United States,213527 United States,2024-05-01,8618.0,8409.0,,
631,213527,United States,213527 United States,2024-06-01,7567.0,8536.0,,
632,213527,United States,213527 United States,2024-07-01,7828.0,8662.0,,1.0
633,213527,United States,213527 United States,2024-08-01,8102.0,8787.0,,
634,213527,United States,213527 United States,2024-09-01,8030.0,8910.0,,1.0
635,213527,United States,213527 United States,2024-10-01,9666.0,9032.0,,
636,213527,United States,213527 United States,2024-11-01,4937.0,9153.0,1.0,
637,213527,United States,213527 United States,2024-12-01,,9272.0,,
638,213527,United States,213527 United States,2025-01-01,,9390.0,,
639,213527,United States,213527 United States,2025-02-01,,9507.0,,
640,213527,United States,213527 United States,2025-03-01,,9623.0,,
641,213527,United States,213527 United States,2025-04-01,,9737.0,,
642,213527,United States,213527 United States,2025-05-01,,9850.0,,
643,213527,United States,213527 United States,2025-06-01,,9962.0,,
644,213527,United States,213527 United States,2025-07-01,,10072.0,,
645,213527,United States,213527 United States,2025-08-01,,10182.0,,
646,213527,United States,213527 United States,2025-09-01,,10290.0,,
647,213527,United States,213527 United States,2025-10-01,,10396.0,,
648,213527,United States,213527 United States,2025-11-01,,10502.0,,
649,213527,United States,213527 United States,2025-12-01,,10606.0,,
650,213527,United States,213527 United States,2026-01-01,,10709.0,,
651,213527,United States,213527 United States,2026-02-01,,10811.0,,
652,213527,United States,213527 United States,2026-03-01,,10911.0,,
653,213527,United States,213527 United States,2026-04-01,,11011.0,,
654,213527,United States,213527 United States,2026-05-01,,11109.0,,
655,213527,United States,213527 United States,2026-06-01,,11206.0,,
656,213527,United States,213527 United States,2026-07-01,,11302.0,,
657,213527,United States,213527 United States,2026-08-01,,11396.0,,
658,213527,United States,213527 United States,2026-09-01,,11490.0,,
659,213527,United States,213527 United States,2026-10-01,,11582.0,,
660,213527,United States,213527 United States,2026-11-01,,11673.0,,
661,213527,United States,213527 United States,2026-12-01,,11763.0,,
662,213527,United States,213527 United States,2027-01-01,,11852.0,,
663,213527,United States,213527 United States,2027-02-01,,11940.0,,
664,213527,United States,213527 United States,2027-03-01,,12027.0,,
665,213527,United States,213527 United States,2027-04-01,,12113.0,,
666,213527,United States,213527 United States,2027-05-01,,12197.0,,
667,213527,United States,213527 United States,2027-06-01,,12280.0,,
668,213527,United States,213527 United States,2027-07-01,,12363.0,,
669,213527,United States,213527 United States,2027-08-01,,12444.0,,
670,213527,United States,213527 United States,2027-09-01,,12524.0,,
671,213527,United States,213527 United States,2027-10-01,,12603.0,,
672,213527,United States,213527 United States,2027-11-01,,12682.0,,
673,213527,United States,213527 United States,2027-12-01,,4800.0,,
674,213527,United States,213527 United States,2028-01-01,,4800.0,,
