parameter_name,value,wmape,bias,Best?
FitValidationSensitivity,1.0,0.1102916029004833,-0.08710431859715548,Best
FitValidationSensitivity,1.7,0.11063533573543281,-0.08744805143210499,NOT Best
ForecastValidationSensitivity,4.5,0.12043776708386736,-0.10082599518428571,NOT Best
ForecastValidationSensitivity,5.0,0.12218838632116047,-0.10278216320227727,NOT Best
OutlierSensitivity,1.0,0.10861439394201106,-0.07888754927125184,Best
OutlierSensitivity,3.0,0.1092396767874971,-0.08628557807571795,NOT Best
OutliersPercent,5.0,0.10847620988776001,-0.08195868987698164,Best
EnableNonNegRegr,1.0,0.10847620988776001,-0.08195868987698164,NOT Best
