,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
150,111651,United States,111651 United States,2021-11-01,6038.0,,,
151,111651,United States,111651 United States,2021-12-01,8085.0,4405.0,,
152,111651,United States,111651 United States,2022-01-01,4013.0,4492.0,,
153,111651,United States,111651 United States,2022-02-01,4913.0,4579.0,,
154,111651,United States,111651 United States,2022-03-01,6264.0,4665.0,,
155,111651,United States,111651 United States,2022-04-01,5541.0,4751.0,,
156,111651,United States,111651 United States,2022-05-01,5984.0,4836.0,,
157,111651,United States,111651 United States,2022-06-01,6344.0,4921.0,,
158,111651,United States,111651 United States,2022-07-01,5337.0,5005.0,,
159,111651,United States,111651 United States,2022-08-01,5602.0,5089.0,,
160,111651,United States,111651 United States,2022-09-01,5900.0,5172.0,,
161,111651,United States,111651 United States,2022-10-01,6397.0,5255.0,,
162,111651,United States,111651 United States,2022-11-01,6980.0,5337.0,,
163,111651,United States,111651 United States,2022-12-01,8612.0,5419.0,,
164,111651,United States,111651 United States,2023-01-01,5861.0,5500.0,,
165,111651,United States,111651 United States,2023-02-01,5590.0,5581.0,,
166,111651,United States,111651 United States,2023-03-01,6667.0,5661.0,,
167,111651,United States,111651 United States,2023-04-01,6270.0,5741.0,,
168,111651,United States,111651 United States,2023-05-01,6153.0,5820.0,,
169,111651,United States,111651 United States,2023-06-01,7212.0,5899.0,,
170,111651,United States,111651 United States,2023-07-01,5675.0,5977.0,,
171,111651,United States,111651 United States,2023-08-01,6693.0,6055.0,,
172,111651,United States,111651 United States,2023-09-01,5883.0,6132.0,,
173,111651,United States,111651 United States,2023-10-01,7845.0,6209.0,,
174,111651,United States,111651 United States,2023-11-01,7499.0,6285.0,,
175,111651,United States,111651 United States,2023-12-01,10338.0,6361.0,,
176,111651,United States,111651 United States,2024-01-01,6210.0,6436.0,,
177,111651,United States,111651 United States,2024-02-01,7240.0,6511.0,,
178,111651,United States,111651 United States,2024-03-01,6905.0,6585.0,,
179,111651,United States,111651 United States,2024-04-01,6989.0,6659.0,,
180,111651,United States,111651 United States,2024-05-01,7164.0,6732.0,,
181,111651,United States,111651 United States,2024-06-01,6345.0,6805.0,,
182,111651,United States,111651 United States,2024-07-01,7722.0,6877.0,,1.0
183,111651,United States,111651 United States,2024-08-01,5992.0,6949.0,,
184,111651,United States,111651 United States,2024-09-01,6381.0,7020.0,,1.0
185,111651,United States,111651 United States,2024-10-01,8382.0,7090.0,,
186,111651,United States,111651 United States,2024-11-01,4132.0,7160.0,1.0,
187,111651,United States,111651 United States,2024-12-01,,7230.0,,
188,111651,United States,111651 United States,2025-01-01,,7299.0,,
189,111651,United States,111651 United States,2025-02-01,,7367.0,,
190,111651,United States,111651 United States,2025-03-01,,7435.0,,
191,111651,United States,111651 United States,2025-04-01,,7503.0,,
192,111651,United States,111651 United States,2025-05-01,,7570.0,,
193,111651,United States,111651 United States,2025-06-01,,7636.0,,
194,111651,United States,111651 United States,2025-07-01,,7702.0,,
195,111651,United States,111651 United States,2025-08-01,,7768.0,,
196,111651,United States,111651 United States,2025-09-01,,7833.0,,
197,111651,United States,111651 United States,2025-10-01,,7897.0,,
198,111651,United States,111651 United States,2025-11-01,,7961.0,,
199,111651,United States,111651 United States,2025-12-01,,8024.0,,
200,111651,United States,111651 United States,2026-01-01,,8087.0,,
201,111651,United States,111651 United States,2026-02-01,,8149.0,,
202,111651,United States,111651 United States,2026-03-01,,8211.0,,
203,111651,United States,111651 United States,2026-04-01,,8272.0,,
204,111651,United States,111651 United States,2026-05-01,,8333.0,,
205,111651,United States,111651 United States,2026-06-01,,8394.0,,
206,111651,United States,111651 United States,2026-07-01,,8453.0,,
207,111651,United States,111651 United States,2026-08-01,,8513.0,,
208,111651,United States,111651 United States,2026-09-01,,8571.0,,
209,111651,United States,111651 United States,2026-10-01,,8630.0,,
210,111651,United States,111651 United States,2026-11-01,,8687.0,,
211,111651,United States,111651 United States,2026-12-01,,8745.0,,
212,111651,United States,111651 United States,2027-01-01,,8802.0,,
213,111651,United States,111651 United States,2027-02-01,,8858.0,,
214,111651,United States,111651 United States,2027-03-01,,8914.0,,
215,111651,United States,111651 United States,2027-04-01,,8969.0,,
216,111651,United States,111651 United States,2027-05-01,,9024.0,,
217,111651,United States,111651 United States,2027-06-01,,9078.0,,
218,111651,United States,111651 United States,2027-07-01,,9132.0,,
219,111651,United States,111651 United States,2027-08-01,,9185.0,,
220,111651,United States,111651 United States,2027-09-01,,9238.0,,
221,111651,United States,111651 United States,2027-10-01,,9291.0,,
222,111651,United States,111651 United States,2027-11-01,,9343.0,,
223,111651,United States,111651 United States,2027-12-01,,4230.0,,
224,111651,United States,111651 United States,2028-01-01,,4230.0,,
