,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
225,110550,United States,110550 United States,2021-11-01,8220.0,,,
226,110550,United States,110550 United States,2021-12-01,10836.0,5295.0,,
227,110550,United States,110550 United States,2022-01-01,6425.0,5295.0,,
228,110550,United States,110550 United States,2022-02-01,7720.0,5295.0,,
229,110550,United States,110550 United States,2022-03-01,8466.0,5295.0,,
230,110550,United States,110550 United States,2022-04-01,7605.0,5295.0,,
231,110550,United States,110550 United States,2022-05-01,7452.0,5295.0,,
232,110550,United States,110550 United States,2022-06-01,8374.0,5295.0,,
233,110550,United States,110550 United States,2022-07-01,7783.0,5295.0,,
234,110550,United States,110550 United States,2022-08-01,8494.0,5295.0,,
235,110550,United States,110550 United States,2022-09-01,8460.0,5295.0,,
236,110550,United States,110550 United States,2022-10-01,8991.0,5295.0,,
237,110550,United States,110550 United States,2022-11-01,10319.0,5563.0,,
238,110550,United States,110550 United States,2022-12-01,12694.0,5828.0,,
239,110550,United States,110550 United States,2023-01-01,8911.0,6090.0,,
240,110550,United States,110550 United States,2023-02-01,9040.0,6349.0,,
241,110550,United States,110550 United States,2023-03-01,9371.0,6605.0,,
242,110550,United States,110550 United States,2023-04-01,7791.0,6858.0,,
243,110550,United States,110550 United States,2023-05-01,9911.0,7108.0,,
244,110550,United States,110550 United States,2023-06-01,10348.0,7355.0,,
245,110550,United States,110550 United States,2023-07-01,8473.0,7598.0,,
246,110550,United States,110550 United States,2023-08-01,10210.0,7839.0,,
247,110550,United States,110550 United States,2023-09-01,9366.0,8077.0,,
248,110550,United States,110550 United States,2023-10-01,12692.0,8311.0,,
249,110550,United States,110550 United States,2023-11-01,11498.0,8543.0,,
250,110550,United States,110550 United States,2023-12-01,14473.0,8771.0,,
251,110550,United States,110550 United States,2024-01-01,8725.0,8997.0,,
252,110550,United States,110550 United States,2024-02-01,9040.0,9219.0,,
253,110550,United States,110550 United States,2024-03-01,8916.0,9439.0,,
254,110550,United States,110550 United States,2024-04-01,9534.0,9655.0,,
255,110550,United States,110550 United States,2024-05-01,9180.0,9869.0,,
256,110550,United States,110550 United States,2024-06-01,9476.0,10079.0,,
257,110550,United States,110550 United States,2024-07-01,8941.0,10286.0,,1.0
258,110550,United States,110550 United States,2024-08-01,8188.0,10491.0,,
259,110550,United States,110550 United States,2024-09-01,8557.0,10693.0,,1.0
260,110550,United States,110550 United States,2024-10-01,9969.0,10891.0,,
261,110550,United States,110550 United States,2024-11-01,5295.0,11087.0,1.0,
262,110550,United States,110550 United States,2024-12-01,,11280.0,,
263,110550,United States,110550 United States,2025-01-01,,11470.0,,
264,110550,United States,110550 United States,2025-02-01,,11657.0,,
265,110550,United States,110550 United States,2025-03-01,,11841.0,,
266,110550,United States,110550 United States,2025-04-01,,12023.0,,
267,110550,United States,110550 United States,2025-05-01,,12201.0,,
268,110550,United States,110550 United States,2025-06-01,,12377.0,,
269,110550,United States,110550 United States,2025-07-01,,12551.0,,
270,110550,United States,110550 United States,2025-08-01,,12721.0,,
271,110550,United States,110550 United States,2025-09-01,,12889.0,,
272,110550,United States,110550 United States,2025-10-01,,13054.0,,
273,110550,United States,110550 United States,2025-11-01,,13217.0,,
274,110550,United States,110550 United States,2025-12-01,,13377.0,,
275,110550,United States,110550 United States,2026-01-01,,13534.0,,
276,110550,United States,110550 United States,2026-02-01,,13689.0,,
277,110550,United States,110550 United States,2026-03-01,,13841.0,,
278,110550,United States,110550 United States,2026-04-01,,13990.0,,
279,110550,United States,110550 United States,2026-05-01,,14138.0,,
280,110550,United States,110550 United States,2026-06-01,,14282.0,,
281,110550,United States,110550 United States,2026-07-01,,14425.0,,
282,110550,United States,110550 United States,2026-08-01,,14565.0,,
283,110550,United States,110550 United States,2026-09-01,,14702.0,,
284,110550,United States,110550 United States,2026-10-01,,14837.0,,
285,110550,United States,110550 United States,2026-11-01,,14970.0,,
286,110550,United States,110550 United States,2026-12-01,,15101.0,,
287,110550,United States,110550 United States,2027-01-01,,15229.0,,
288,110550,United States,110550 United States,2027-02-01,,15355.0,,
289,110550,United States,110550 United States,2027-03-01,,15479.0,,
290,110550,United States,110550 United States,2027-04-01,,15601.0,,
291,110550,United States,110550 United States,2027-05-01,,15720.0,,
292,110550,United States,110550 United States,2027-06-01,,15838.0,,
293,110550,United States,110550 United States,2027-07-01,,15953.0,,
294,110550,United States,110550 United States,2027-08-01,,16067.0,,
295,110550,United States,110550 United States,2027-09-01,,16178.0,,
296,110550,United States,110550 United States,2027-10-01,,16287.0,,
297,110550,United States,110550 United States,2027-11-01,,16394.0,,
298,110550,United States,110550 United States,2027-12-01,,5295.0,,
299,110550,United States,110550 United States,2028-01-01,,5295.0,,
